小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,,,
泰来苑,浦口,223,19226元/平米,3室2厅1厨1卫,低楼层 (共11层),115.99㎡,平层,97.32㎡,板楼,南 北,钢混结构,其他,一梯三户,有,70年,2018/1/1,房改房,2013/5/27,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天润城第十二街区,浦口,185,22781元/平米,2室2厅1厨1卫,高楼层 (共18层),81.21㎡,平层,64.54㎡,板塔结合,东 西,钢混结构,精装,两梯六户,有,70年,2017/11/2,商品房,2014/2/13,普通住宅,满两年,共有,"
                                有抵押 30万元 建设银行 客户偿还
                              ",已上传房本照片,,,
江雁依山郡,鼓楼,650,21651元/平米,6室2厅2厨4卫,低楼层 (共4层),300.22㎡,暂无数据,283.93㎡,板楼,南 北,钢混结构,毛坯,一梯两户,暂无数据,70年,2017/4/9,商品房,2014/5/6,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
金陵新八村,鼓楼,202,25162元/平米,3室1厅1厨1卫,中楼层 (共7层),80.28㎡,暂无数据,70.16㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/15,商品房,2001/3/28,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
珠江路,玄武,152,28599元/平米,2室1厅1厨1卫,中楼层 (共5层),53.15㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯两户,暂无数据,70年,2017/1/2,房改房,2005/11/30,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
鑫都公寓,江宁,285,29648元/平米,3室2厅1厨1卫,中楼层 (共6层),96.13㎡,平层,87.19㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/11,房改房,2009/8/24,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
藏龙御景,江宁,409,29336元/平米,3室2厅1厨2卫,低楼层 (共28层),139.42㎡,平层,109.92㎡,板楼,南 北,钢混结构,其他,两梯三户,有,70年,2018/1/14,商品房,2015/1/4,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
三金福邸,秦淮,336,33360元/平米,3室2厅1厨1卫,低楼层 (共6层),100.72㎡,平层,90.09㎡,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2018/1/17,商品房,2009/3/17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
江佑铂庭,浦口,238,30502元/平米,2室2厅1厨1卫,低楼层 (共18层),78.03㎡,平层,64.54㎡,板楼,南 北,钢混结构,其他,两梯三户,有,70年,2017/10/26,商品房,2014/3/7,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
长阳花园,鼓楼,680,53493元/平米,3室2厅1厨2卫,低楼层 (共6层),127.12㎡,平层,115.66㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/10/19,商品房,2011/10/17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
龙翔雅苑,秦淮,280,25167元/平米,4室2厅1厨2卫,高楼层 (共7层),111.26㎡,跃层,暂无数据,板楼,南 北,钢混结构,其他,一梯三户,暂无数据,70年,2018/2/24,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
百家湖西花园巴黎城,江宁,316,29063元/平米,3室2厅1厨2卫,低楼层 (共7层),108.73㎡,平层,97.61㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/1/23,商品房,2013/1/8,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
茉莉园,栖霞,145,18795元/平米,2室1厅1厨1卫,低楼层 (共18层),77.15㎡,暂无数据,1㎡,暂无数据,南 北,未知结构,其他,一梯四户,暂无数据,70年,2017/8/22,动迁安置房,2017/9/1,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
星叶枫情水岸,栖霞,365,29755元/平米,3室2厅1厨2卫,低楼层 (共11层),122.67㎡,平层,111.79㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/7/12,商品房,2016/7/25,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中南世纪雅苑,栖霞,206,23860元/平米,3室2厅1厨1卫,中楼层 (共34层),86.34㎡,暂无数据,63.48㎡,塔楼,南 北,钢混结构,毛坯,一梯四户,暂无数据,70年,2017/12/18,商品房,2017/3/8,普通住宅,未满两年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,,,
南方花园枫彩园,江宁,320,24907元/平米,3室2厅1厨1卫,低楼层 (共6层),128.48㎡,暂无数据,115.62㎡,板楼,南,钢混结构,精装,一梯两户,暂无数据,70年,2017/5/2,商品房,2014/4/14,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
东郊小镇第四街区,江宁,135,27818元/平米,3室1厅1厨2卫,中楼层 (共7层),48.53㎡,暂无数据,38.85㎡,板楼,西南,钢混结构,精装,一梯四十四户,暂无数据,70年,2017/9/27,商品房,2011/8/3,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,,,
富力十号,江宁,448,37521元/平米,3室1厅1厨2卫,高楼层 (共6层),119.4㎡,暂无数据,93.84㎡,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2018/1/12,商品房,2017/6/6,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,
石头城,鼓楼,190,32308元/平米,2室1厅1厨1卫,中楼层 (共5层),58.81㎡,平层,49.21㎡,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017/1/2,房改房,1999/9/2,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
锦虹美苑,雨花台,365,34986元/平米,3室1厅1厨1卫,低楼层 (共6层),104.33㎡,平层,93.74㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2018/2/27,商品房,2005/9/9,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
永嘉年华,鼓楼,523,65196元/平米,3室1厅1厨1卫,高楼层 (共21层),80.22㎡,跃层,暂无数据,板楼,南,钢混结构,精装,两梯二十户,有,70年,2018/3/14,商品房,2007/8/2,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
长江之家,鼓楼,595,55007元/平米,2室1厅1厨1卫,低楼层 (共24层),108.17㎡,平层,87.89㎡,板楼,东 南,砖混结构,精装,三梯六户,有,70年,2018/3/10,商品房,2013/11/22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
文荟福邸,江宁,240,27095元/平米,4室2厅1厨2卫,高楼层 (共6层),88.58㎡,暂无数据,79.61㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/6/11,商品房,2017/6/13,普通住宅,未满两年,共有,"
                                有抵押 2万元 业主自还
                              ",已上传房本照片,,,
世茂滨江新城,鼓楼,700,36590元/平米,3室2厅1厨2卫,中楼层 (共62层),191.31㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,70年,2017/8/2,商品房,2008/6/18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
文化名园云水苑,江宁,635,25659元/平米,5室3厅1厨3卫,低楼层 (共6层),247.48㎡,复式,暂无数据,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/12,商品房,2003/9/1,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
开源小区三村,秦淮,239,29875元/平米,3室1厅1厨1卫,高楼层 (共6层),80㎡,平层,69.01㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/23,房改房,2015/12/30,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
玉兰里,建邺,165,28938元/平米,2室1厅1厨1卫,高楼层 (共6层),57.02㎡,平层,47.55㎡,板楼,南,砖混结构,其他,一梯两户,暂无数据,70年,2018/1/2,商品房,2004/2/17,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
银亿东城第十一街区,江宁,153,17149元/平米,2室1厅1厨1卫,低楼层 (共32层),89.22㎡,平层,86.25㎡,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,70年,2016/12/8,商品房,2017/5/26,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
海德卫城,鼓楼,750,45367元/平米,4室2厅1厨2卫,高楼层 (共28层),165.32㎡,平层,128.74㎡,板塔结合,南 北,钢混结构,其他,两梯三户,有,70年,2017/12/29,商品房,2009/6/11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
广兴花园,江宁,285,22710元/平米,3室2厅1厨2卫,低楼层 (共6层),125.5㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/3,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
车站村,建邺,168,28635元/平米,2室1厅1厨1卫,中楼层 (共5层),58.67㎡,平层,49.23㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2018/1/3,商品房,2016/2/15,普通住宅,满两年,非共有,"
                                有抵押 65万元 客户偿还
                              ",已上传房本照片,,,
晏公庙西村,玄武,123,30222元/平米,1室1厅1厨1卫,低楼层 (共6层),40.7㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯四户,暂无数据,70年,2017/11/26,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
阳光帝景,浦口,380,29213元/平米,3室2厅1厨2卫,中楼层 (共18层),130.08㎡,平层,105.42㎡,塔楼,南 北,钢混结构,其他,两梯三户,有,70年,2017/2/26,商品房,2014/12/23,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
应天花园,雨花台,435,30125元/平米,3室2厅1厨2卫,中楼层 (共7层),144.4㎡,暂无数据,132.48㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/5,商品房,2003/7/11,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
盈家春天,江宁,215,24303元/平米,3室2厅1厨1卫,低楼层 (共18层),88.47㎡,平层,73.52㎡,板楼,西南,钢混结构,精装,两梯八户,有,70年,2017/9/22,商品房,2012/8/27,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,,,
将军庙,鼓楼,163.7,29485元/平米,2室1厅1厨1卫,高楼层 (共7层),55.52㎡,暂无数据,47.35㎡,板楼,南 北,砖混结构,其他,一梯两户,有,70年,2017/7/15,房改房,2011/6/2,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
西一新村,秦淮,199,32025元/平米,2室1厅1厨1卫,高楼层 (共7层),62.14㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/12/22,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
红山韵致居,玄武,310,32715元/平米,2室1厅1厨1卫,高楼层 (共9层),94.76㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,有,70年,2017/2/11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,
恒安嘉园,江宁,365,24510元/平米,3室2厅1厨2卫,中楼层 (共11层),148.92㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/3/8,商品房,2007/10/26,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
苏宁千秋情缘知心园,鼓楼,670,44413元/平米,4室2厅1厨2卫,中楼层 (共10层),150.86㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2016/6/25,商品房,2009/7/20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
月苑综合楼,玄武,140,24043元/平米,2室1厅1厨1卫,高楼层 (共15层),58.23㎡,暂无数据,46.9㎡,板楼,南,钢混结构,其他,一梯六户,暂无数据,70年,2018/3/12,房改房,2008/8/7,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
